id,track_name,track_artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,similarity_score
63U6DJ2Q7alA97eUkFdwDv,Sucédeme,Jotdog,0.07344200350282018,0.07269730944796106,0.0,1,0.0693158468136748,0.07012535683256796,0.06911177912925959,0.06974404589521879,0.07099416656323694,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995314080709
1vZEnDUseI4y5aAyTHwOdc,I Need Your Help,Deitrick Haddon,0.04666293071634571,0.047011467545070615,0.0,1,0.0434557084865301,0.04395664475212883,0.04327330822956961,0.04427101130352776,0.04476989735248693,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999995266938028
5SDmwAmdAtDG9kyGniVBKN,Seigfried,Frank Ocean,0.06299801893022232,0.06278890600924499,0.0,0,0.061614571868809156,0.06675104556460489,0.06138701298701298,0.06194144838212635,0.06338322694254897,0.9999999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0.9999995164999669
4eucKRPayKSzwxaOOGfhye,Overexposed,Matt and Kim,0.06383796348367261,0.06586248266036815,0.0,1,0.058411127357252644,0.05804568290031117,0.05803622652120121,0.06101675851985153,0.06150414276609305,0.9999999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0.9999995111860295
1SN1vSPsr4V4tIUTR3s8YW,Fast Car,Jonas Blue,0.06048969029411278,0.05971003433803893,0.0,1,0.05538792030920825,0.05880596519748521,0.05491597962941461,0.0575037738665959,0.05946120796907919,1.0000000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0.9999994947273283
1fQaoh3imrMunWVZh5kf90,Shepherd of Fire,Avenged Sevenfold,0.06085744624369525,0.06329085921599858,0.0,1,0.05703108869421585,0.056612482671150044,0.05706279680264283,0.05727959177653895,0.05816594401675368,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994821806637
77CCfbJgFZvKYpL2GY6XN9,Can You Hear Me,Korn,0.037829742004058364,0.04071246819338422,0.0,1,0.0336232164138242,0.033266628015589265,0.033453312719425386,0.03476181273553,0.03694398814700293,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994344716668
3UNuVVGosJLfLCsWHEhr5U,Sorry,Aquilo,0.0613951861255254,0.06126267471629307,0.0,1,0.05997466381855477,0.06336165543853325,0.05969904008735152,0.06038279895899037,0.060605418126500686,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0.9999994189221216
2qIOlORAibicgvcVBv992k,Still Swingin',Papa Roach,0.04735820751730687,0.04954651178794093,0.0,1,0.04382939484441019,0.043436642398051166,0.04343680067163049,0.044385416810030415,0.048108286654096534,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999994078389955
5KcZcZOfq0Kwpa6fhiaGZu,Wild Side,Cross My Heart Hope To Die,0.0292374040729111,0.031888835324621174,0.0,1,0.026849813031752025,0.0264748342041146,0.02641662076064155,0.027934489452906146,0.028768354809709316,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0.999999403725039
6y67LQI1ClG9nJlvpEuqUt,Find Our Way,Midnight Kids,0.049629439054550896,0.05029337803855827,0.0,1,0.045435004523084334,0.047479936593827037,0.04518934709900161,0.04599105342219051,0.04831815956113634,1.0000000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0.9999994010085519
3t0J8vI9StQD8KIBkT2Cp5,Tired - Kygo Remix,Alan Walker,0.06082871413778401,0.0619099104586709,0.0,1,0.0567963087043918,0.05647347261984529,0.05627550709630262,0.05695696534080527,0.0588795151367485,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.9999993865791273
